ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
HALO,0.018094077036760206,-0.04838306748792398,-0.13868957767531598,0.3254516789984345,0,0,0,0,0,0,0,0.0,0.0,0.0
HUMA,0.05159441674258564,-0.2736194714943432,0.24611914557015946,-0.5119617115716861,0,0,0,2,0,2,2,0.6666666666666666,0.6666666666666666,0.0
IBRX,0.045263572406146285,0.03460465568410531,-0.07217258655214576,-0.22727277242775945,0,7,8,3,0,19,19,0.15,0.15,1.75
IDXX,0.011600493319037248,0.04038536447886132,0.2729701523518522,0.2825632624913299,0,0,0,0,0,0,0,0.0,0.0,0.0
IDYA,0.028011444812137975,0.05354863631624229,0.2627076840110192,0.657469048233053,1,0,0,0,0,0,0,0.0,0.0,0.0
ILMN,0.01951824042379474,0.12691146525275587,0.20323399266079734,0.4094957610922485,1,0,0,0,0,7,7,0.0,0.0,0.0
IMCR,0.03316171047105139,-0.10373369365018159,0.0948783659831568,0.1268324268969716,0,0,0,0,0,0,0,0.0,0.0,0.0
IMMP,0.027800428179533147,-0.17378685895869828,0.010494497303423778,0.8353658638526684,1,0,0,0,0,0,0,0.0,0.0,0.0
IMNM,0.034730159551611434,0.0480622568485326,0.3486161458880368,1.3225806385454435,1,2,0,1,0,3,3,0.25,0.25,1.0
IMRX,0.12777874547737714,0.8894109769905705,0.998000479128405,0.9762611494294509,1,0,0,0,0,0,0,0.0,0.0,0.0
IMVT,0.02687959357059798,0.07897090737197765,-0.08650997313158526,0.6006250381469727,1,0,0,0,0,0,0,0.0,0.0,0.0
INBX,0.034237649806306066,0.04898487416875463,0.06042192310003358,4.555010098120854,1,1,3,1,0,5,5,0.16666666666666666,0.16666666666666666,0.5
INCY,0.0208005451803549,0.03635646569383777,0.132654807412647,0.4580029829700931,1,30,79,22,0,138,138,0.15827338129496402,0.15827338129496402,1.3043478260869565
INSM,0.056960701412194115,0.41590763618195103,0.31484345248107615,0.7521859837772265,1,0,0,0,0,0,0,0.0,0.0,0.0
IONS,0.018339004256769834,0.16987147997882723,0.26603114093778246,1.0242978171260506,1,3,4,9,0,23,23,0.375,0.375,0.3
IOVA,0.05289188755516308,-0.03469880165150663,-0.4843662923202221,0.6220929740956831,1,6,10,1,0,17,17,0.05555555555555555,0.05555555555555555,3.0
IQV,0.019148697981447305,0.11442579281670329,-0.08996212904464052,0.4411447800493773,1,0,0,0,0,0,0,0.0,0.0,0.0
IRON,0.027157350238249448,0.1303125399618109,0.07443225585379254,0.47828554133191425,1,2,2,1,0,5,5,0.16666666666666666,0.16666666666666666,1.0
IRWD,0.09056614675889546,0.22078726528398962,-0.42879257673123916,3.4583332091569954,1,0,0,0,0,1,1,0.0,0.0,0.0
ISRG,0.01489449220543392,-0.01966113950184989,0.12289842079502511,0.05886909120275341,0,0,0,1,0,26,26,0.037037037037037035,0.037037037037037035,0.0
IVVD,0.06822867322741415,-0.13316619439113753,0.34740790091293927,2.6223776352027213,1,1,0,0,0,1,1,0.0,0.0,1.0
JANX,0.028222201768966112,-0.032200802530119144,-0.17246695496284914,-0.39090911417859375,0,0,0,0,0,0,0,0.0,0.0,0.0
JAZZ,0.013673047508604015,-0.018437673321093917,-0.12029818227563005,0.6066716508400349,1,12,19,7,2,46,46,0.14893617021276595,0.19148936170212766,1.2
JNJ,0.007757946512041979,-0.00476723912358723,-0.052825600186704014,0.3774862576964697,1,0,0,0,0,2,2,0.0,0.0,0.0
KALV,0.03227479616308457,-0.038369997808011314,-0.014500918373170801,0.34188409259472974,0,0,0,0,0,0,0,0.0,0.0,0.0
KOD,0.05060961663713377,0.06367971381246329,0.4106226954379185,6.723860407137114,1,0,0,4,0,4,4,0.8,0.8,0.0
KROS,0.019755871093996877,-0.04491089087661271,0.2484191778827164,0.5453182450392864,1,0,0,0,0,0,0,0.0,0.0,0.0
KRYS,0.020888210494673504,0.09509664045031407,-0.2601865328330576,0.8454821787098721,1,3,4,1,0,10,10,0.09090909090909091,0.09090909090909091,1.5
